date,latitude,longitude,depth,mag,status,locationSource,magSource,is_replica
21928,-16.145,-72.144,60,7.5,automatic,IGP,IGP,1
21930,-15,-75,70,7,automatic,IGP,IGP,1
21932,-14.5,-74.5,150,6.4,automatic,IGP,IGP,0
21938,-12.5,-68.5,300,5.8,automatic,IGP,IGP,0
21945,-5.5,-77.5,100,5.7,automatic,IGP,IGP,1
21954,-8.5,-74.5,136,5.3,automatic,IGP,IGP,1
21959,-17.5,-70,150,5.9,automatic,IGP,IGP,0
21984,-16.389,-73.817,80,6.2,automatic,IGP,IGP,1
22007,-14.5,-73.5,100,6.1,automatic,IGP,IGP,0
22040,-18,-71.5,100,5,automatic,IGP,IGP,1
22048,-9,-72.5,60,5.8,automatic,IGP,IGP,1
22101,-8,-71,600,6.2,automatic,IGP,IGP,1
22106,-15,-70.5,200,5.9,automatic,IGP,IGP,0
22116,-7,-80,33,5.3,automatic,IGP,IGP,0
22127,-2.5,-77.5,200,5.8,automatic,IGP,IGP,0
22172,-15,-75.51,67,5.7,automatic,IGP,IGP,1
22173,-15.2,-76.2,91,5.4,automatic,IGP,IGP,0
22183,-3,-75.9,146,6.4,automatic,IGP,IGP,0
22185,-16,-72.9,115,5.3,automatic,IGP,IGP,0
22223,-14.4,-71.6,55,5.3,automatic,IGP,IGP,0
22231,-16.1,-71.9,114,5.6,automatic,IGP,IGP,0
22240,-5.6,-80.9,60,6.8,automatic,IGP,IGP,0
22249,-16,-74,33,5.8,automatic,IGP,IGP,1
22267,-15.2,-73.5,28,5.2,automatic,IGP,IGP,1
22272,-16.2,-72.9,147,5.2,automatic,IGP,IGP,1
22280,-17,-70,47,5.6,automatic,IGP,IGP,0
22289,-15.9,-73.1,135,5.1,automatic,IGP,IGP,0
22309,-13.6,-76.3,86,6,automatic,IGP,IGP,1
22320,-10.4,-71,600,6,automatic,IGP,IGP,0
22357,-11.1,-78.8,60,5,automatic,IGP,IGP,0
22380,-18.3,-70.2,29,5.3,automatic,IGP,IGP,1
22398,-13.2,-75.1,83,6.2,automatic,IGP,IGP,0
22435,-18.1,-70.3,60,5.3,automatic,IGP,IGP,0
22449,-12,-75.3,29,5.5,automatic,IGP,IGP,0
22463,-15.3,-74.8,68,5.8,automatic,IGP,IGP,0
22465,-8.7,-79.1,57,5.8,automatic,IGP,IGP,1
22470,-6.2,-77.1,15,5.8,automatic,IGP,IGP,0
22490,-2.287,-77.035,142,6.6,automatic,IGP,IGP,0
22510,-17.4,-72.7,46,5.6,automatic,IGP,IGP,0
22512,-10.8,-71,649,7,automatic,IGP,IGP,0
22513,-11.5,-70.6,630,6.1,automatic,IGP,IGP,1
22521,-15.2,-70.2,185,5.3,automatic,IGP,IGP,1
22521,-14.1,-73.9,100,4.8,automatic,IGP,IGP,1
22523,-3.9,-77.8,33,5.5,automatic,IGP,IGP,1
22524,-10.4,-70.7,605,7.1,automatic,IGP,IGP,1
22524,-10.5,-70.7,629,7.5,automatic,IGP,IGP,1
22530,-10.9,-79.1,45,4.8,automatic,IGP,IGP,0
22536,-11.1,-70.6,543,5.6,automatic,IGP,IGP,0
22565,-13.3,-75.5,137,5.3,automatic,IGP,IGP,0
22593,-13.98,-71.9,20,5.2,automatic,IGP,IGP,1
22595,-14.3,-71.9,68,5.6,automatic,IGP,IGP,1
22608,-5.6,-80.3,61,6.1,automatic,IGP,IGP,1
22614,-7.2,-76.4,33,5.8,automatic,IGP,IGP,0
22624,-14.9,-75.7,39,5.3,automatic,IGP,IGP,1
22639,-5.7,-80.9,33,6.1,automatic,IGP,IGP,0
22648,-18.1,-70.6,77,5.3,automatic,IGP,IGP,0
22671,-15.7,-69.6,190,4.6,automatic,IGP,IGP,0
22706,-15.7,-74.3,64,5.9,automatic,IGP,IGP,1
22717,-13.9,-72.6,91,5,automatic,IGP,IGP,0
22724,-16.8,-73.5,33,5.1,automatic,IGP,IGP,0
22727,-14.9,-70.7,119,5.1,automatic,IGP,IGP,0
22754,-10,-79,39,6.7,automatic,IGP,IGP,0
22842,-9.3,-78.9,80,5.9,automatic,IGP,IGP,1
22852,-14.3,-75.5,100,5.2,automatic,IGP,IGP,0
22852,-16.3,-75,33,5.3,automatic,IGP,IGP,1
22882,-17.5,-70.4,92,5.7,automatic,IGP,IGP,1
22888,-17.4,-69.8,145,5.3,automatic,IGP,IGP,1
22898,-15.6,-73.4,98,5.3,automatic,IGP,IGP,0
22909,-15.5,-76.1,33,5.2,automatic,IGP,IGP,1
22911,-15.5,-73.1,137,5.2,automatic,IGP,IGP,1
22917,-13.8,-76.7,61,4.8,automatic,IGP,IGP,0
22918,-17.1,-70.5,33,6,automatic,IGP,IGP,1
22939,-17.2,-69.7,153,5.3,automatic,IGP,IGP,0
22958,-15.1,-75.4,44,5.3,automatic,IGP,IGP,0
22965,-8.7,-79.8,45,6.2,automatic,IGP,IGP,1
22973,-15.262,-75.512,20,5.9,automatic,IGP,IGP,0
23004,-8.4,-78.7,80,5.1,automatic,IGP,IGP,1
23027,-3.9,-76.8,102,6,automatic,IGP,IGP,0
23028,-10.7,-79,21,4.9,automatic,IGP,IGP,0
23028,-8.3,-75.1,124,5.8,automatic,IGP,IGP,0
23033,-11.6,-75,47,4.9,automatic,IGP,IGP,1
23045,-9.1,-77.1,33,4.6,automatic,IGP,IGP,0
23058,-8.5,-80.1,33,5.2,automatic,IGP,IGP,1
23066,-15.1,-72.5,97,5.3,automatic,IGP,IGP,0
23069,-15.1,-73.6,105,5.5,automatic,IGP,IGP,1
23074,-4.5,-81.6,23,5.6,automatic,IGP,IGP,0
23074,-15.8,-75.3,40,5.3,automatic,IGP,IGP,0
23075,-4.5,-81.5,22,5.8,automatic,IGP,IGP,1
23101,-6.6,-81.2,31,5.5,automatic,IGP,IGP,1
23101,-10.8,-78.5,32,5.8,automatic,IGP,IGP,1
23104,-4.8,-78.4,33,4.9,automatic,IGP,IGP,1
23105,-16.3,-73,95,5,automatic,IGP,IGP,1
23107,-18,-69.9,159,4.8,automatic,IGP,IGP,1
23114,-6.2,-76.5,125,6.9,automatic,IGP,IGP,0
23129,-11.7,-78.1,10,5.3,automatic,IGP,IGP,0
23131,-8.3,-80,9,5.4,automatic,IGP,IGP,0
23141,-8,-74.4,143,4.9,automatic,IGP,IGP,1
23148,-14.1,-73.9,94,5.4,automatic,IGP,IGP,0
23157,-16.9,-72.4,47,5.1,automatic,IGP,IGP,1
23157,-5.5,-81.2,33,5.1,automatic,IGP,IGP,1
23180,-5.3,-78.5,33,4.9,automatic,IGP,IGP,0
23183,-4.9,-81.2,45,4.6,automatic,IGP,IGP,0
23186,-15.3,-69.4,179,4.5,automatic,IGP,IGP,1
